 ,Area,Mean,Min,Max,Angle,Length
1,0.003,102.873,94.721,119.333,-90.785,0.445
2,0.003,82.054,34.216,119.000,2.526,0.415
3,0.002,106.121,99.795,154.667,-97.017,0.399
4,2.601E-4,128.905,124.000,136.333,0.000,0.037
5,0.004,114.889,85.517,206.858,-82.439,0.695
6,0.004,97.880,88.333,125.000,1.023,0.683
7,0.004,107.094,94.333,123.857,-95.440,0.643
8,0.003,99.811,94.333,110.729,-1.348,0.518
9,0.005,122.946,90.589,212.109,-90.418,0.835
10,0.004,87.113,73.667,119.667,4.122,0.678
11,0.003,105.184,88.333,122.333,-90.000,0.457
12,0.003,91.016,77.725,149.333,3.731,0.562
13,0.003,112.667,95.333,135.333,-90.000,0.415
14,2.973E-4,186.029,183.905,187.333,56.310,0.044
15,0.005,97.739,90.333,116.402,-88.107,0.738
16,0.002,112.655,96.902,149.667,5.599,0.312
17,0.004,107.489,102.836,116.000,-82.593,0.615
18,0.005,94.218,81.667,143.333,-0.448,0.780
19,0.003,97.880,87.652,116.667,-89.370,0.555
20,0.004,114.724,99.000,160.000,0.000,0.707
21,0.004,102.648,94.000,143.689,-89.029,0.719
22,0.006,112.898,90.667,172.333,0.000,1.012
23,0.005,114.864,100.000,148.401,-89.538,0.756
24,0.004,107.077,98.607,125.390,0.573,0.610
25,0.003,108.225,99.592,160.333,-83.501,0.485
26,0.003,94.809,82.192,127.000,2.203,0.476
27,0.003,114.768,104.810,128.139,82.451,0.510
28,1.858E-4,161.550,150.000,170.333,14.036,0.025
29,0.003,114.863,99.038,153.524,-85.101,0.428
30,0.003,106.272,97.000,118.000,0.000,0.488
31,0.003,100.967,78.667,119.290,-100.235,0.446
32,1.486E-4,136.500,126.333,149.000,0.000,0.018
33,0.002,113.558,103.067,126.000,-96.843,0.307
34,1.858E-4,111.800,93.333,128.333,0.000,0.024
35,0.003,96.532,73.352,122.511,-95.477,0.447
36,3.716E-4,103.515,87.519,144.000,-26.565,0.055
37,0.021,111.900,62.670,219.374,-121.229,3.386
38,0.010,112.714,76.275,159.003,0.865,1.616
39,0.022,116.970,84.276,241.546,-126.013,3.587
40,0.012,111.490,95.333,160.333,0.000,1.890
